"atc_name","atc_code","rxnorm_code","rxnorm_name"
"Alpha glucosidase inhibitors","A10BF","569871","acarbose 50 MG [Precose]"
"metformin and saxagliptin","A10BD10","1043566","metformin / saxagliptin Extended Release Oral Tablet [Kombiglyze]"
"metformin and canagliflozin","A10BD16","1811006","24 HR canagliflozin 50 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet"
"Thiazolidinediones","A10BG","312440","pioglitazone 30 MG Oral Tablet"
"metformin and sulfonylureas","A10BD02","432366","chlorpropamide 125 MG / metformin 513 MG Oral Tablet"
"metformin and repaglinide","A10BD14","802742","metformin / repaglinide Oral Tablet"
"Other blood glucose lowering drugs, excl. insulins","A10BX","311919","nateglinide 120 MG Oral Tablet"
"Sulfonylureas","A10BB","542032","chlorpropamide 250 MG Oral Tablet [Insulase]"
"glimepiride and rosiglitazone","A10BD04","847716","glimepiride 1 MG / rosiglitazone 4 MG Oral Tablet [Avandaryl]"
"Sulfonylureas","A10BB","669982","glyburide Oral Tablet [Glyburase]"
"Sulfonylureas","A10BB","205872","glyburide 1.25 MG Oral Tablet [Diabeta]"
"metformin and sulfonylureas","A10BD02","861742","glipizide 5 MG / metformin hydrochloride 500 MG Oral Tablet [Metaglip]"
"Sulfonylureas","A10BB","374149","tolazamide Oral Tablet"
"glimepiride and pioglitazone","A10BD06","731457","glimepiride 4 MG / pioglitazone 30 MG Oral Tablet [Duetact]"
"Other blood glucose lowering drugs, excl. insulins","A10BX","440352","guar gum 500 MG"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1368002","alogliptin 25 MG"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1534802","albiglutide 60 MG/ML [Tanzeum]"
"Other blood glucose lowering drugs, excl. insulins","A10BX","A10BX02","repaglinide; oral"
"metformin and ertugliflozin","A10BD23","1992695","ertugliflozin 2.5 MG / metformin hydrochloride 500 MG Oral Tablet [Segluromet]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1803903","{1 (3 ML lixisenatide 0.05 MG/ML Pen Injector [Adlyxin]) / 1 (3 ML lixisenatide 0.1 MG/ML Pen Injector [Adlyxin]) } Pack [Adlyxin Starter Kit]"
"metformin and sulfonylureas","A10BD02","438507","metformin 513 MG"
"Other blood glucose lowering drugs, excl. insulins","A10BX","430491","nateglinide 90 MG Oral Tablet"
"metformin and pioglitazone","A10BD05","899992","metformin / pioglitazone Extended Release Oral Tablet [Actoplus Met]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1653616","exenatide Pen Injector"
"metformin; oral","A10BA02","861020","metformin hydrochloride 625 MG"
"Thiazolidinediones","A10BG","572980","troglitazone 300 MG [Rezulin]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1189811","simvastatin / sitagliptin Oral Tablet [Juvisync]"
"metformin and pioglitazone","A10BD05","899993","24 HR metformin hydrochloride 1000 MG / pioglitazone 15 MG Extended Release Oral Tablet [Actoplus Met]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1649586","dulaglutide Auto-Injector [Trulicity]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1189810","simvastatin 20 MG / sitagliptin 100 MG [Juvisync]"
"Sulfonylureas","A10BB","367762","glimepiride Oral Tablet [Amaryl]"
"Thiazolidinediones","A10BG","212281","troglitazone 200 MG Oral Tablet [Rezulin]"
"metformin and sulfonylureas","A10BD02","861743","glyburide 1.25 MG / metformin hydrochloride 250 MG Oral Tablet"
"Sulfonylureas","A10BB","A10BB09","gliclazide; oral"
"metformin and sitagliptin","A10BD07","861821","metformin hydrochloride 500 MG / sitagliptin 50 MG Oral Tablet [Janumet]"
"Sulfonylureas","A10BB","316832","tolazamide 100 MG"
"Other blood glucose lowering drugs, excl. insulins","A10BX","26344","guar gum"
"Sulfonylureas","A10BB","A10BB07","glipizide; oral"
"Other blood glucose lowering drugs, excl. insulins","A10BX","330385","nateglinide 120 MG"
"metformin and linagliptin","A10BD11","1796090","linagliptin / metformin Extended Release Oral Tablet [Jentadueto]"
"metformin and dapagliflozin","A10BD15","1593775","24 HR dapagliflozin 10 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Xigduo]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1551295","0.5 ML dulaglutide 1.5 MG/ML Auto-Injector"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","665038","sitagliptin 25 MG Oral Tablet"
"metformin and alogliptin","A10BD13","1368391","alogliptin 12.5 MG / metformin hydrochloride 1000 MG Oral Tablet [Kazano]"
"metformin and saxagliptin","A10BD10","1043574","24 HR metformin hydrochloride 1000 MG / saxagliptin 5 MG Extended Release Oral Tablet [Kombiglyze]"
"Other blood glucose lowering drugs, excl. insulins","A10BX","371006","benfluorex Oral Tablet"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1551308","dulaglutide 3 MG/ML Auto-Injector [Trulicity]"
"metformin and sulfonylureas","A10BD02","861745","glyburide 1.25 MG / metformin hydrochloride 250 MG [Glucovance]"
"Thiazolidinediones","A10BG","358809","rosiglitazone 1 MG"
"metformin and saxagliptin","A10BD10","1043567","24 HR metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet [Kombiglyze]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1544918","0.65 ML exenatide 3.08 MG/ML Pen Injector [Bydureon]"
"Sulfonylureas","A10BB","198293","tolazamide 500 MG Oral Tablet"
"Sulfonylureas","A10BB","369304","tolazamide Oral Tablet [Tolinase]"
"metformin and alogliptin","A10BD13","1368394","alogliptin 12.5 MG / metformin hydrochloride 500 MG [Kazano]"
"Other blood glucose lowering drugs, excl. insulins","A10BX","373759","repaglinide Oral Tablet"
"metformin and dapagliflozin","A10BD15","1940497","dapagliflozin 2.5 MG / metformin hydrochloride 1000 MG [Xigduo]"
"Sulfonylureas","A10BB","102847","glibornuride 25 MG Oral Tablet"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","593411","sitagliptin"
"Sulfonylureas","A10BB","105371","glyburide 2.5 MG Oral Tablet [Calabren]"
"Other blood glucose lowering drugs, excl. insulins","A10BX","402959","repaglinide Oral Tablet [NovoNorm]"
"metformin and saxagliptin","A10BD10","1043568","metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet"
"Other blood glucose lowering drugs, excl. insulins","A10BX","213219","repaglinide 1 MG Oral Tablet [Prandin]"
"Sulfonylureas","A10BB","260286","glyburide 1.5 MG Oral Tablet [Glycron]"
"metformin and empagliflozin","A10BD20","1665367","empagliflozin 12.5 MG / metformin hydrochloride 1000 MG Oral Tablet"
"phenformin; oral","A10BA01","335359","phenformin hydrochloride 50 MG"
"Sulfonylureas","A10BB","564037","glyburide 5 MG [Calabren]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","847913","60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]"
"Sulfonylureas","A10BB","214107","acetohexamide 500 MG Oral Tablet [Dymelor]"
"Sulfonylureas","A10BB","376236","gliquidone Oral Tablet"
"metformin and dapagliflozin","A10BD15","1593059","dapagliflozin 10 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet"
"metformin and rosiglitazone","A10BD03","861764","metformin hydrochloride 1000 MG / rosiglitazone 4 MG [Avandamet]"
"metformin and empagliflozin","A10BD20","1862700","24 HR empagliflozin 5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet"
"metformin and canagliflozin","A10BD16","1545145","canagliflozin 150 MG"
"Alpha glucosidase inhibitors","A10BF","315246","acarbose 100 MG"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1653594","liraglutide Pen Injector"
"metformin and empagliflozin","A10BD20","1664323","empagliflozin 12.5 MG / metformin hydrochloride 500 MG Oral Tablet"
"metformin and dapagliflozin","A10BD15","1593827","dapagliflozin 10 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet [Xigduo]"
"metformin; oral","A10BA02","332809","metformin 400 MG"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1545653","empagliflozin"
"Alpha glucosidase inhibitors","A10BF","316305","miglitol 25 MG"
"metformin and rosiglitazone","A10BD03","861796","metformin hydrochloride 500 MG / rosiglitazone 1 MG [Avandamet]"
"Sulfonylureas","A10BB","315978","glimepiride 1 MG"
"Other blood glucose lowering drugs, excl. insulins","A10BX","429347","guar gum 715 MG Oral Tablet"
"metformin; oral","A10BA02","541768","metformin Extended Release Oral Tablet [Fortamet]"
"metformin; oral","A10BA02","647241","metformin Extended Release Oral Tablet [Glumetza]"
"Sulfonylureas","A10BB","328851","tolbutamide 1000 MG"
"Other blood glucose lowering drugs, excl. insulins","A10BX","446632","nateglinide 90 MG"
"Other blood glucose lowering drugs, excl. insulins","A10BX","573136","repaglinide 0.5 MG [Prandin]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1488564","dapagliflozin"
"metformin and canagliflozin","A10BD16","1811009","canagliflozin 50 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet [Invokamet]"
"metformin and canagliflozin","A10BD16","1811013","canagliflozin 50 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet [Invokamet]"
"metformin and alogliptin","A10BD13","1368392","alogliptin 12.5 MG / metformin hydrochloride 500 MG Oral Tablet"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1551297","dulaglutide 1.5 MG/ML [Trulicity]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1992810","ertugliflozin 5 MG Oral Tablet"
"Other blood glucose lowering drugs, excl. insulins","A10BX","A10BX05","pramlintide"
"linagliptin and empagliflozin","A10BD19","1602115","empagliflozin 10 MG / linagliptin 5 MG Oral Tablet [Glyxambi]"
"Sulfonylureas","A10BB","153843","glimepiride 1 MG Oral Tablet [Amaryl]"
"Sulfonylureas","A10BB","199825","gliclazide 80 MG Oral Tablet"
"Other blood glucose lowering drugs, excl. insulins","A10BX","485584","guar gum 3000 MG Oral Tablet"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1992806","ertugliflozin 5 MG"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","665032","sitagliptin Oral Tablet"
"metformin and empagliflozin","A10BD20","1862695","24 HR empagliflozin 25 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet"
"metformin; oral","A10BA02","372803","metformin Oral Tablet"
"Thiazolidinediones","A10BG","374252","troglitazone Oral Tablet"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","847917","60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]"
"Sulfonylureas","A10BB","252259","chlorpropamide 125 MG Oral Tablet"
"metformin and pioglitazone","A10BD05","899998","metformin hydrochloride 1000 MG / pioglitazone 30 MG [Actoplus Met]"
"Sulfonylureas","A10BB","A10BB06","carbutamide; oral"
"Other blood glucose lowering drugs, excl. insulins","A10BX","282780","guar gum 720 MG/ML Oral Suspension"
"metformin and empagliflozin","A10BD20","1862686","empagliflozin 10 MG / metformin hydrochloride 1000 MG [Synjardy]"
"metformin and sitagliptin","A10BD07","1243829","metformin hydrochloride 1000 MG / sitagliptin 100 MG [Janumet]"
"pioglitazone and alogliptin","A10BD09","1368437","alogliptin 25 MG / pioglitazone 30 MG Oral Tablet [Oseni]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","665042","sitagliptin 50 MG Oral Tablet"
"Sulfonylureas","A10BB","565327","glimepiride 2 MG [Amaryl]"
"metformin and pioglitazone","A10BD05","900000","24 HR metformin hydrochloride 1000 MG / pioglitazone 30 MG Extended Release Oral Tablet [Actoplus Met]"
"Thiazolidinediones","A10BG","199985","troglitazone 400 MG Oral Tablet"
"metformin and sulfonylureas","A10BD02","432780","chlorpropamide 125 MG / metformin 500 MG Oral Tablet"
"Sulfonamides (heterocyclic)","A10BC","A10BC01","glymidine; oral"
"metformin and sulfonylureas","A10BD02","861748","glyburide 2.5 MG / metformin hydrochloride 500 MG Oral Tablet"
"Thiazolidinediones","A10BG","312860","rosiglitazone 4 MG Oral Tablet"
"metformin and rosiglitazone","A10BD03","378729","metformin / rosiglitazone Oral Tablet"
"Thiazolidinediones","A10BG","153723","troglitazone 300 MG Oral Tablet [Romozin]"
"metformin and rosiglitazone","A10BD03","861807","metformin hydrochloride 500 MG / rosiglitazone 2 MG [Avandamet]"
"metformin; oral","A10BA02","861005","metformin hydrochloride 1000 MG [Glucophage]"
"saxagliptin and dapagliflozin","A10BD21","1925497","dapagliflozin / saxagliptin Oral Tablet"
"Sulfonylureas","A10BB","315987","glyburide 1.25 MG"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1649584","dulaglutide Auto-Injector"
"Sulfonylureas","A10BB","A10BB01","glibenclamide; oral"
"Other blood glucose lowering drugs, excl. insulins","A10BX","330386","nateglinide 60 MG"
"Sulfonylureas","A10BB","369373","glyburide Oral Tablet [Diabeta]"
"Sulfonylureas","A10BB","201919","chlorpropamide 250 MG Oral Tablet [Diabinese]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1486977","dapagliflozin 10 MG Oral Tablet [Farxiga]"
"metformin and sitagliptin","A10BD07","1243849","metformin hydrochloride 500 MG / sitagliptin 50 MG Extended Release Oral Tablet"
"metformin and ertugliflozin","A10BD23","1992699","ertugliflozin 7.5 MG / metformin hydrochloride 1000 MG [Segluromet]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","665036","sitagliptin 100 MG Oral Tablet [Januvia]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1373473","canagliflozin 300 MG Oral Tablet [Invokana]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1534763","albiglutide"
"Other blood glucose lowering drugs, excl. insulins","A10BX","411170","guar gum 500 MG Oral Capsule"
"Sulfonylureas","A10BB","865568","24 HR glipizide 10 MG Extended Release Oral Tablet [Glucotrol]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1545658","empagliflozin 10 MG Oral Tablet"
"metformin and sulfonylureas","A10BD02","861753","glyburide 5 MG / metformin hydrochloride 500 MG Oral Tablet"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","A10BH01","sitagliptin; oral"
"metformin and ertugliflozin","A10BD23","1992701","ertugliflozin 7.5 MG / metformin hydrochloride 500 MG Oral Tablet"
"Other blood glucose lowering drugs, excl. insulins","A10BX","331162","benfluorex 150 MG"
"Sulfonylureas","A10BB","315989","glyburide 2.5 MG"
"Sulfonamides (heterocyclic)","A10BC","102850","glymidine 500 MG Oral Tablet"
"Sulfonylureas","A10BB","358839","glibornuride 25 MG"
"Other blood glucose lowering drugs, excl. insulins","A10BX","314142","nateglinide 60 MG Oral Tablet"
"Thiazolidinediones","A10BG","261243","rosiglitazone 8 MG Oral Tablet [Avandia]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","2200640","semaglutide 14 MG"
"linagliptin and empagliflozin","A10BD19","1602112","empagliflozin / linagliptin Oral Tablet [Glyxambi]"
"metformin and linagliptin","A10BD11","1796089","24 HR linagliptin 2.5 MG / metformin hydrochloride 1000 MG Extended Release Oral Tablet"
"pioglitazone and alogliptin","A10BD09","1368430","alogliptin 25 MG / pioglitazone 15 MG Oral Tablet [Oseni]"
"metformin and ertugliflozin","A10BD23","1992702","ertugliflozin 7.5 MG / metformin hydrochloride 500 MG [Segluromet]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1534806","albiglutide 60 MG/ML Pen Injector"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1803894","3 ML lixisenatide 0.1 MG/ML Pen Injector"
"metformin and rosiglitazone","A10BD03","861763","metformin hydrochloride 1000 MG / rosiglitazone 4 MG Oral Tablet"
"Sulfonylureas","A10BB","197496","chlorpropamide 250 MG Oral Tablet"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1368017","alogliptin 6.25 MG"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1991316","1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector"
"Sulfonylureas","A10BB","565667","glyburide 2.5 MG [Libanil]"
"metformin and rosiglitazone","A10BD03","861760","metformin hydrochloride 1000 MG / rosiglitazone 2 MG Oral Tablet"
"metformin and rosiglitazone","A10BD03","861818","metformin hydrochloride 500 MG / rosiglitazone 4 MG Oral Tablet [Avandamet]"
"Sulfonylureas","A10BB","566765","glyburide 2.5 MG [Micronase]"
"Alpha glucosidase inhibitors","A10BF","16681","acarbose"
"metformin and repaglinide","A10BD14","861792","metformin hydrochloride 500 MG / repaglinide 2 MG Oral Tablet [PrandiMet]"
"metformin and canagliflozin","A10BD16","1811004","canagliflozin 150 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet"
"metformin and pioglitazone","A10BD05","899994","metformin hydrochloride 1000 MG / pioglitazone 15 MG Extended Release Oral Tablet"
"Sulfonylureas","A10BB","10635","tolbutamide"
"Sulfonylureas","A10BB","2068","carbutamide"
"Thiazolidinediones","A10BG","212282","troglitazone 400 MG Oral Tablet [Rezulin]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","757712","vildagliptin 50 MG Oral Tablet"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1545665","empagliflozin 25 MG"
"Other blood glucose lowering drugs, excl. insulins","A10BX","252188","benfluorex 150 MG Oral Tablet"
"Sulfonylureas","A10BB","565669","glyburide 2.5 MG [Euglucon]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1803885","lixisenatide Pen Injector"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1991303","semaglutide 1.34 MG/ML"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1803889","lixisenatide Pen Injector [Adlyxin]"
"Sulfonylureas","A10BB","389137","gliclazide 30 MG Extended Release Oral Tablet"
"Sulfonylureas","A10BB","379565","glyburide Oral Tablet [Diabetamide]"
"metformin; oral","A10BA02","860979","metformin hydrochloride 500 MG Extended Release Oral Tablet [Glucophage]"
"metformin and canagliflozin","A10BD16","1545158","canagliflozin 150 MG / metformin hydrochloride 500 MG [Invokamet]"
"sitagliptin and ertugliflozin","A10BD24","1992828","ertugliflozin 15 MG / sitagliptin 100 MG [Steglujan]"
"Sulfonamides (heterocyclic)","A10BC","102849","glymidine 500 MG Oral Tablet [Gondafon]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","2200646","semaglutide 14 MG [Rybelsus]"
"Sulfonamides (heterocyclic)","A10BC","369555","glymidine Oral Tablet [Gondafon]"
"metformin and sulfonylureas","A10BD02","861741","glipizide 5 MG / metformin hydrochloride 500 MG [Metaglip]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1312429","simvastatin 40 MG / sitagliptin 50 MG Oral Tablet [Juvisync]"
"Thiazolidinediones","A10BG","316870","troglitazone 300 MG"
"Thiazolidinediones","A10BG","312861","rosiglitazone 8 MG Oral Tablet"
"Alpha glucosidase inhibitors","A10BF","573095","acarbose 25 MG [Precose]"
"metformin and sitagliptin","A10BD07","700516","metformin / sitagliptin Oral Tablet"
"Other blood glucose lowering drugs, excl. insulins","A10BX","1360184","pramlintide acetate 1 MG/ML Pen Injector"
"Sulfonylureas","A10BB","566761","glyburide 1.25 MG [Diabeta]"
"metformin; oral","A10BA02","860980","metformin hydrochloride 750 MG"
"linagliptin and empagliflozin","A10BD19","1602108","empagliflozin / linagliptin Oral Tablet"
"Sulfonylureas","A10BB","566718","glipizide 5 MG [Glucotrol]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1534819","albiglutide 100 MG/ML"
"metformin and saxagliptin","A10BD10","1043578","24 HR metformin hydrochloride 500 MG / saxagliptin 5 MG Extended Release Oral Tablet"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1242968","exenatide 2 MG Injection [Bydureon]"
"metformin and canagliflozin","A10BD16","1545166","canagliflozin 50 MG / metformin hydrochloride 500 MG Oral Tablet [Invokamet]"
"sitagliptin and ertugliflozin","A10BD24","1992832","ertugliflozin 15 MG / sitagliptin 100 MG Oral Tablet [Steglujan]"
"metformin and dapagliflozin","A10BD15","1593835","24 HR dapagliflozin 10 MG / metformin hydrochloride 500 MG Extended Release Oral Tablet [Xigduo]"
"glimepiride and rosiglitazone","A10BD04","602544","glimepiride 1 MG / rosiglitazone 4 MG Oral Tablet"
"Sulfonylureas","A10BB","881406","glyburide Oral Tablet [Glynase]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1990868","exenatide Auto-Injector [Bydureon]"
"metformin and empagliflozin","A10BD20","1664322","empagliflozin 12.5 MG"
"Sulfonylureas","A10BB","261351","glyburide 4.5 MG Oral Tablet [Glycron]"
"Thiazolidinediones","A10BG","261241","rosiglitazone 2 MG Oral Tablet [Avandia]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1990864","exenatide 2.35 MG/ML"
"glimepiride and rosiglitazone","A10BD04","602543","glimepiride / rosiglitazone Oral Tablet"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1360105","liraglutide 6 MG/ML Pen Injector"
"glimepiride and rosiglitazone","A10BD04","847710","glimepiride 2 MG / rosiglitazone 4 MG [Avandaryl]"
"Sulfonylureas","A10BB","205828","glipizide 5 MG Oral Tablet [Glucotrol]"
"Sulfonylureas","A10BB","573945","acetohexamide 250 MG [Dymelor]"
"Sulfonylureas","A10BB","881407","glyburide 1.5 MG Oral Tablet [Glynase]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","665031","sitagliptin 100 MG"
"Alpha glucosidase inhibitors","A10BF","573375","miglitol 100 MG [Glyset]"
"metformin and repaglinide","A10BD14","861791","metformin hydrochloride 500 MG / repaglinide 2 MG [PrandiMet]"
"Thiazolidinediones","A10BG","33738","pioglitazone"
"metformin and rosiglitazone","A10BD03","861808","metformin hydrochloride 500 MG / rosiglitazone 2 MG Oral Tablet [Avandamet]"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","2200657","semaglutide 7 MG [Rybelsus]"
"Sulfonylureas","A10BB","153591","glimepiride 2 MG Oral Tablet [Amaryl]"
"Thiazolidinediones","A10BG","200065","troglitazone 300 MG Oral Tablet"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","1545657","empagliflozin Oral Tablet"
"metformin; oral","A10BA02","860984","metformin hydrochloride 750 MG Extended Release Oral Tablet"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","897122","3 ML liraglutide 6 MG/ML Pen Injector"
"pioglitazone and alogliptin","A10BD09","1368423","alogliptin 12.5 MG / pioglitazone 45 MG Oral Tablet [Oseni]"
"metformin and canagliflozin","A10BD16","1545156","canagliflozin 150 MG / metformin hydrochloride 1000 MG Oral Tablet [Invokamet]"
"Thiazolidinediones","A10BG","565368","troglitazone 400 MG [Romozin]"
"Sulfonylureas","A10BB","438377","carbutamide Oral Tablet"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1368001","alogliptin"
"metformin and canagliflozin","A10BD16","1545157","canagliflozin 150 MG / metformin hydrochloride 500 MG Oral Tablet"
"Thiazolidinediones","A10BG","A10BG03","pioglitazone; oral"
"Glucagon-like peptide-1 (GLP-1) analogues","A10BJ","1598268","3 ML liraglutide 6 MG/ML Pen Injector [Saxenda]"
"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","A10BK","A10BK01","dapagliflozin; oral"
"Sulfonylureas","A10BB","574089","glyburide 1.5 MG [Glycron]"
"Thiazolidinediones","A10BG","574470","rosiglitazone 2 MG [Avandia]"
"metformin; oral","A10BA02","860983","24 HR metformin hydrochloride 750 MG Extended Release Oral Tablet [Glucophage]"
"sitagliptin and ertugliflozin","A10BD24","1992824","ertugliflozin / sitagliptin Oral Tablet"
"glimepiride and rosiglitazone","A10BD04","602549","glimepiride 2 MG / rosiglitazone 4 MG Oral Tablet"
"Other blood glucose lowering drugs, excl. insulins","A10BX","692603","guar gum 1000 MG Chewable Tablet"
"Sulfonylureas","A10BB","201057","glyburide 2.5 MG Oral Tablet [Semi-Daonil]"
"Dipeptidyl peptidase 4 (DPP-4) inhibitors","A10BH","1312416","simvastatin 20 MG / sitagliptin 50 MG Oral Tablet"
