,PASC Name Simple,HD Domain (Defined by Nature paper),CCSR CATEGORY 1,CCSR CATEGORY 1 DESCRIPTION,ICD-10-CM,ICD-10-CM Code Description,Organ Domain,Original CCSR Domain
0,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R04,Hemorrhage from respiratory passages,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
1,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R04.0,Epistaxis,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
2,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R04.1,Hemorrhage from throat,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
3,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R04.2,Hemoptysis,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
4,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R04.8,Hemorrhage from other sites in respiratory passages,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
5,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R04.81,Acute idiopathic pulmonary hemorrhage in infants,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
6,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R04.89,Hemorrhage from other sites in respiratory passages,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
7,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R04.9,"Hemorrhage from respiratory passages, unspecified",Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
8,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R05,Cough,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
9,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R05.1,Acute cough,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
10,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R05.2,Subacute cough,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
11,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R05.3,Chronic cough,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
12,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R05.4,Cough syncope,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
13,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R05.8,Other specified cough,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
14,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R05.9,"Cough, unspecified",Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
15,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06,Abnormalities of breathing,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
16,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.0,Dyspnea,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
17,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.00,"Dyspnea, unspecified",Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
18,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.01,Orthopnea,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
19,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.02,Shortness of breath,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
20,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.03,Acute respiratory distress,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
21,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.09,Other forms of dyspnea,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
22,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.1,Stridor,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
23,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.2,Wheezing,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
24,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.4,Hyperventilation,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
25,Dyspnea,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",SYM013,Respiratory signs and symptoms,R06.5,Mouth breathing,Diseases of the Respiratory System,"Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified"
