pasc,PASC Name Simple,ICD-10-CM Code,ICD-10-CM Code_clean,ICD-10-CM Code Description,selected stringent,selected broader,snomed_code,mapping_source,concept_id,concept_name
Diabetes mellitus with complication,Diabetes mellitus,E103311,E10.3311,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",1,1,312912001,omop,380097,Macular edema due to diabetes mellitus
Pressure ulcer of skin,Pressure ulcer,L89611,L89.611,"Pressure ulcer of right heel, stage 1",1,1,225561003,omop,135893,Pressure ulcer of heel
Diabetes mellitus with complication,Diabetes mellitus,E1364,E13.64,Other specified diabetes mellitus with hypoglycemia,1,1,73211009,omop,201820,Diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I80291,I80.291,Phlebitis and thrombophlebitis of other deep vessels of right lower extremity,1,1,40198004,omop,4221821,Thrombophlebitis of deep veins of lower extremity
Diabetes mellitus with complication,Diabetes mellitus,E08620,E08.620,Diabetes mellitus due to underlying condition with diabetic dermatitis,1,1,8801005,omop,195771,Secondary diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E0843,E08.43,Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy,1,1,8801005,omop,195771,Secondary diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E0821,E08.21,Diabetes mellitus due to underlying condition with diabetic nephropathy,1,1,8801005,omop,195771,Secondary diabetes mellitus
Diabetes mellitus with complication,Diabetes mellitus,E133392,E13.3392,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",1,1,312904009,omop,377552,Moderate nonproliferative retinopathy due to diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,O2232,O22.32,"Deep phlebothrombosis in pregnancy, second trimester",1,1,49956009,omop,435887,Antepartum deep vein thrombosis
Fever,Fever,R508,R50.8,Other specified fever,1,1,386661006,omop,437663,Fever
Diabetes mellitus with complication,Diabetes mellitus,E113219,E11.3219,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",1,1,312912001,omop,380097,Macular edema due to diabetes mellitus
Headache; including migraine,Headache,G43A,G43.A,Cyclical vomiting,1,1,18773000,omop,4077584,Cyclical vomiting syndrome
Sleep wake disorders,Sleep disorders,G4763,G47.63,Sleep related bruxism,1,1,274950005,omop,433455,Sleep related bruxism
Diabetes mellitus with complication,Diabetes mellitus,E133552,E13.3552,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, left eye",1,1,59276001,omop,380096,Proliferative retinopathy due to diabetes mellitus
Acute phlebitis; thrombophlebitis and thromboembolism,Thromboembolism,I82461,I82.461,Acute embolism and thrombosis of right calf muscular vein,1,1,448157006,omop,40488439,Abnormality of systemic vein
Other specified upper respiratory infections,Acute pharyngitis,J391,J39.1,Other abscess of pharynx,1,1,59707005,omop,4242875,Abscess of pharynx
Diabetes mellitus with complication,Diabetes mellitus,E1034,E10.34,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy,1,1,60961000119107,omop,45763583,Nonproliferative diabetic retinopathy due to type 1 diabetes mellitus
"Musculoskeletal pain, not low back pain",Joint pain,M79642,M79.642,Pain in left hand,1,1,53057004,omop,4204199,Hand pain
Diabetes mellitus with complication,Diabetes mellitus,E113212,E11.3212,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",1,1,138911000119106,omop,45757435,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
