ATC_NAME,ATC_CODE,ATC_TYPE,RXNORM_NAME,RXNORM_CODE,RXNORM_TYPE,MEDICATION_CLASS
Antibiotics,A07AA,ATC,vancomycin 1000 MG,1807512,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML [Nystan],564818,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML [Infestat],565054,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 250 MG [Vancocin],566031,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 1000000 UNT [Bio-Statin],570855,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML Oral Suspension [Mycostatin],210339,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 20 MG/ML Oral Solution,756319,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,rifaximin 20 MG/ML,451306,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 500000 UNT [Bio-Statin],570915,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 50000 UNT/ML [Colomycin],564814,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin 25 MG/ML Oral Suspension,1542941,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin 250 MG Oral Tablet,433817,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,streptomycin 100 MG,451948,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin 2000000 UNT,438622,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,colistin Oral Solution,371626,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin Oral Suspension,446636,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 1 MG/MG,545082,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin Delayed Release Oral Tablet,446626,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin 20 MG/ML Oral Solution [DriTail],892118,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin sulfate 500 MG Oral Tablet [Neo-Tab],883523,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin sulfate 500 MG Oral Tablet,866042,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin sulfate 500 MG,866041,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin Oral Solution,757307,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,vancomycin Oral Suspension,378132,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,natamycin Oral Solution,446624,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin 100000 UNT/ML Oral Solution,421928,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Extended Release Oral Tablet,378133,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,paromomycin Oral Capsule [Humatin],366200,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Suspension [Nystex],365931,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Suspension [Mycostatin],93377,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Suspension,373136,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Capsule [Bio-Statin],366648,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,nystatin Oral Lozenge [Mycostatin Pastilles],367202,RxNorm,Antibiotics (systemic)
Antibiotics,A07AA,ATC,neomycin Oral Solution,373020,RxNorm,Antibiotics (systemic)
