category,rxnorm_code,rxnorm_name
Acetaminophen,1013858,acetaminophen 80 MG/ML [Little Fevers]
Acetaminophen,1014599,acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet
Acetaminophen,1014603,acetaminophen 300 MG / oxycodone hydrochloride 10 MG [Perloxx]
Acetaminophen,1014604,acetaminophen / oxycodone Oral Tablet [Perloxx]
Acetaminophen,1014605,acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet [Perloxx]
Acetaminophen,1014615,acetaminophen 300 MG / oxycodone hydrochloride 5 MG Oral Tablet
Acetaminophen,1014632,acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tablet
Acetaminophen,102604,acetaminophen 24 MG/ML Oral Suspension [Calpol]
Acetaminophen,102605,acetaminophen 50 MG/ML Oral Suspension [Calpol Six Plus]
Acetaminophen,1037259,acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tablet
Acetaminophen,1037260,acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG [Primalev]
Acetaminophen,1037261,acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Primalev]
Acetaminophen,1038777,acetaminophen 32 MG/ML [Bactimicina]
Acetaminophen,1038778,acetaminophen Oral Solution [Bactimicina]
Acetaminophen,1038779,acetaminophen 32 MG/ML Oral Solution [Bactimicina]
Acetaminophen,1041528,acetaminophen 10 MG/ML [Ofirmev]
Acetaminophen,1041530,100 ML acetaminophen 10 MG/ML Injection [Ofirmev]
Acetaminophen,1046373,acetaminophen 500 MG [BF-Paradac]
Acetaminophen,1046374,acetaminophen Oral Tablet [BF-Paradac]
Acetaminophen,1046375,acetaminophen 500 MG Oral Tablet [BF-Paradac]
Acetaminophen,1048904,acetaminophen 32 MG/ML [Little Fevers]
Acetaminophen,1048963,acetaminophen 100 MG/ML Oral Suspension [Mapap]
Acetaminophen,104901,acetaminophen 500 MG Oral Tablet [Fanalgic]
Acetaminophen,104902,acetaminophen 24 MG/ML Oral Suspension [Panadol]
Acetaminophen,104905,acetaminophen 500 MG Oral Capsule [Paracets]
Acetaminophen,104906,acetaminophen 24 MG/ML Oral Solution
Acetaminophen,104909,acetaminophen 24 MG/ML Oral Suspension [Medinol Under Six]
Acetaminophen,1049190,acetaminophen 300 MG / oxycodone hydrochloride 10 MG [Lynox]
Acetaminophen,1049191,acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet [Lynox]
Acetaminophen,1049195,acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG [Perloxx]
Acetaminophen,1049197,acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Perloxx]
Acetaminophen,1049204,acetaminophen 300 MG / oxycodone hydrochloride 5 MG [Perloxx]
Acetaminophen,1049206,acetaminophen 300 MG / oxycodone hydrochloride 5 MG Oral Tablet [Perloxx]
Acetaminophen,1049209,acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG [Perloxx]
Acetaminophen,1049211,acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Perloxx]
Acetaminophen,1049214,acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tablet
Acetaminophen,1049215,acetaminophen 325 MG / oxycodone hydrochloride 10 MG [Endocet]
Acetaminophen,1049216,acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tablet [Endocet]
Acetaminophen,1049217,acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG [Lynox]
Acetaminophen,1049218,acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Lynox]
Acetaminophen,1049221,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet
Acetaminophen,1049222,acetaminophen 325 MG / oxycodone hydrochloride 5 MG [Endocet]
Acetaminophen,1049223,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet [Endocet]
Acetaminophen,1049225,acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet
Acetaminophen,1049226,acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG [Endocet]
Acetaminophen,1049227,acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Endocet]
Acetaminophen,1049231,acetaminophen 300 MG / oxycodone hydrochloride 5 MG [Lynox]
Acetaminophen,1049232,acetaminophen 300 MG / oxycodone hydrochloride 5 MG Oral Tablet [Lynox]
Acetaminophen,1049233,acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG Oral Tablet
Acetaminophen,1049234,acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG [Endocet]
Acetaminophen,1049235,acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Endocet]
Acetaminophen,1049240,acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG [Lynox]
Acetaminophen,1049241,acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Lynox]
Acetaminophen,1049251,acetaminophen 400 MG / oxycodone hydrochloride 10 MG Oral Tablet
Acetaminophen,1049252,acetaminophen 400 MG / oxycodone hydrochloride 10 MG [Magnacet]
Acetaminophen,1049253,acetaminophen 400 MG / oxycodone hydrochloride 10 MG Oral Tablet [Magnacet]
Acetaminophen,1049257,acetaminophen 400 MG / oxycodone hydrochloride 2.5 MG Oral Tablet
Acetaminophen,1049258,acetaminophen 400 MG / oxycodone hydrochloride 2.5 MG [Magnacet]
Acetaminophen,1049259,acetaminophen 400 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Magnacet]
Acetaminophen,1049260,acetaminophen 400 MG / oxycodone hydrochloride 5 MG Oral Tablet
Acetaminophen,1049261,acetaminophen 400 MG / oxycodone hydrochloride 5 MG [Magnacet]
Acetaminophen,1049262,acetaminophen 400 MG / oxycodone hydrochloride 5 MG Oral Tablet [Magnacet]
Acetaminophen,1049267,acetaminophen 400 MG / oxycodone hydrochloride 7.5 MG Oral Tablet
Acetaminophen,1049268,acetaminophen 400 MG / oxycodone hydrochloride 7.5 MG [Magnacet]
Acetaminophen,1049269,acetaminophen 400 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Magnacet]
Acetaminophen,1049270,acetaminophen 650 MG / oxycodone hydrochloride 10 MG Oral Tablet
Acetaminophen,1049271,acetaminophen 650 MG / oxycodone hydrochloride 10 MG [Endocet]
Acetaminophen,1049272,acetaminophen 650 MG / oxycodone hydrochloride 10 MG Oral Tablet [Endocet]
Acetaminophen,1049580,acetaminophen 65 MG/ML / oxycodone hydrochloride 1 MG/ML Oral Solution
Acetaminophen,1049581,acetaminophen 65 MG/ML / oxycodone hydrochloride 1 MG/ML [Roxicet]
Acetaminophen,1049582,acetaminophen 65 MG/ML / oxycodone hydrochloride 1 MG/ML Oral Solution [Roxicet]
Acetaminophen,1049624,acetaminophen 325 MG / oxycodone hydrochloride 10 MG [Percocet]
Acetaminophen,1049625,acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tablet [Percocet]
Acetaminophen,1049635,acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tablet
Acetaminophen,1049636,acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG [Percocet]
Acetaminophen,1049637,acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Percocet]
Acetaminophen,1049639,acetaminophen 325 MG / oxycodone hydrochloride 5 MG [Percocet]
Acetaminophen,1049640,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet [Percocet]
Acetaminophen,1049641,acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG [Percocet]
Acetaminophen,1049642,acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Percocet]
Acetaminophen,1049646,acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG [Percocet]
Acetaminophen,1049647,acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Percocet]
Acetaminophen,1049649,acetaminophen 650 MG / oxycodone hydrochloride 10 MG [Percocet]
Acetaminophen,1049650,acetaminophen 650 MG / oxycodone hydrochloride 10 MG Oral Tablet [Percocet]
Acetaminophen,1049651,acetaminophen 500 MG / oxycodone hydrochloride 10 MG Oral Tablet
Acetaminophen,1049652,acetaminophen 500 MG / oxycodone hydrochloride 10 MG [Narvox]
Acetaminophen,1049653,acetaminophen 500 MG / oxycodone hydrochloride 10 MG Oral Tablet [Narvox]
Acetaminophen,1049654,acetaminophen 500 MG / oxycodone hydrochloride 10 MG [Xolox]
Acetaminophen,1049655,acetaminophen 500 MG / oxycodone hydrochloride 10 MG Oral Tablet [Xolox]
Acetaminophen,1049658,acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Capsule
Acetaminophen,1049659,acetaminophen 500 MG / oxycodone hydrochloride 5 MG [Taxadone]
Acetaminophen,1049660,acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Capsule [Taxadone]
Acetaminophen,1049665,acetaminophen 500 MG / oxycodone hydrochloride 5 MG [Tylox]
Acetaminophen,1049666,acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Capsule [Tylox]
Acetaminophen,1049703,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Capsule
Acetaminophen,1049709,acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Tablet
Acetaminophen,1050489,acetaminophen 325 MG / oxycodone hydrochloride 5 MG [Roxicet]
Acetaminophen,1050490,acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet [Roxicet]
Acetaminophen,1050495,acetaminophen 500 MG / oxycodone hydrochloride 5 MG [Roxicet]
Acetaminophen,1050496,acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Tablet [Roxicet]
Acetaminophen,106811,acetaminophen 120 MG Disintegrating Oral Tablet
Acetaminophen,106812,acetaminophen 120 MG Disintegrating Oral Tablet [Disprol Junior]
Acetaminophen,108355,acetaminophen 100 MG/ML Oral Solution [Infadrops]
Acetaminophen,108430,acetaminophen 24 MG/ML Oral Solution [Placidex]
Acetaminophen,108496,acetaminophen 24 MG/ML Oral Suspension [Medinol Pediatric]
Acetaminophen,1091866,acetaminophen 100 MG/ML [Mejoralito]
Acetaminophen,1091867,acetaminophen Oral Solution [Mejoralito]
Acetaminophen,1091868,acetaminophen 100 MG/ML Oral Solution [Mejoralito]
Acetaminophen,1095479,acetaminophen 500 MG [Tempra]
Acetaminophen,1095480,acetaminophen Oral Tablet [Tempra]
Acetaminophen,1095481,acetaminophen 500 MG Oral Tablet [Tempra]
Acetaminophen,1095625,acetaminophen 100 MG/ML [Panadol]
Acetaminophen,1095626,acetaminophen 100 MG/ML Oral Solution [Panadol]
Acetaminophen,1095627,acetaminophen 160 MG [Panadol]
Acetaminophen,1095628,acetaminophen 160 MG Oral Tablet [Panadol]
Acetaminophen,1095635,acetaminophen 32 MG/ML [Panadol]
Acetaminophen,1095636,acetaminophen 32 MG/ML Oral Solution [Panadol]
Acetaminophen,1095638,acetaminophen 80 MG [Panadol]
Acetaminophen,1095639,acetaminophen Chewable Tablet [Panadol]
Acetaminophen,1095640,acetaminophen 80 MG Chewable Tablet [Panadol]
Acetaminophen,1100003,acetaminophen 500 MG [CounterAct Pain]
Acetaminophen,1100004,acetaminophen Oral Tablet [CounterAct Pain]
Acetaminophen,1100005,acetaminophen 500 MG Oral Tablet [CounterAct Pain]
Acetaminophen,1100008,acetaminophen 80 MG [Mejoralito]
Acetaminophen,1100009,acetaminophen Chewable Tablet [Mejoralito]
Acetaminophen,1100010,acetaminophen 80 MG Chewable Tablet [Mejoralito]
Acetaminophen,1101343,acetaminophen 100 MG/ML [Nortemp]
Acetaminophen,1101344,acetaminophen Oral Solution [Nortemp]
Acetaminophen,1101345,acetaminophen 100 MG/ML Oral Solution [Nortemp]
