category,rxnorm_code,rxnorm_name
Triptans,1156254,
Triptans,1156255,
Triptans,1156256,
Triptans,1156257,
Triptans,1156665,
Triptans,1156666,
Triptans,1157005,
Triptans,1157512,
Triptans,1157975,
Triptans,1157976,
Triptans,1158390,
Triptans,1158391,
Triptans,1161297,
Triptans,1161298,
Triptans,1163609,
Triptans,1163610,
Triptans,1163611,
Triptans,1163612,
Triptans,1163613,
Triptans,1164908,
Triptans,1164909,
Triptans,1167768,
Triptans,1167769,
Triptans,1167770,
Triptans,1167771,
Triptans,1167772,
Triptans,1171354,
Triptans,1171355,
Triptans,1173955,
Triptans,1173956,
Triptans,1179685,
Triptans,1179686,
Triptans,1180711,
Triptans,1180712,
Triptans,1181574,
Triptans,1181575,
Triptans,1188175,
Triptans,1188176,
Triptans,1188177,
Triptans,1188178,
Triptans,1295097,
Triptans,1295525,
Triptans,1295826,
Triptans,1296956,
Triptans,135775,
Triptans,141366,
Triptans,1483676,
Triptans,1483677,
Triptans,1483678,
Triptans,1483679,
Triptans,153353,
Triptans,153354,
Triptans,153442,
Triptans,1656981,
Triptans,1657150,
Triptans,1657151,
Triptans,1657159,
Triptans,1657160,
Triptans,1657162,
Triptans,1657173,
Triptans,1657186,
Triptans,1738575,
Triptans,1738576,
Triptans,1738577,
Triptans,1738578,
Triptans,1738579,
Triptans,1738580,
Triptans,1738581,
Triptans,1739330,
Triptans,1739331,
Triptans,1739332,
Triptans,1739333,
Triptans,1739334,
Triptans,1739335,
Triptans,1739336,
Triptans,1739337,
Triptans,1790136,
Triptans,1793916,
Triptans,200193,
Triptans,200194,
Triptans,208450,
Triptans,208452,
Triptans,209169,
Triptans,213167,
Triptans,213211,
Triptans,213212,
Triptans,213321,
Triptans,213322,
Triptans,217713,
Triptans,2178068,
Triptans,2178069,
Triptans,2178070,
Triptans,2178071,
Triptans,2178072,
Triptans,2178073,
Triptans,218248,
Triptans,2198973,
Triptans,228783,
Triptans,231049,
Triptans,236690,
Triptans,279645,
Triptans,283792,
Triptans,284201,
Triptans,284204,
Triptans,284205,
Triptans,284460,
Triptans,285046,
Triptans,311918,
Triptans,312837,
Triptans,312839,
Triptans,312840,
Triptans,313159,
Triptans,313160,
Triptans,313161,
Triptans,313165,
Triptans,314135,
Triptans,314209,
Triptans,314227,
Triptans,315223,
Triptans,316933,
Triptans,317540,
Triptans,322249,
Triptans,322250,
Triptans,328719,
Triptans,330059,
Triptans,330060,
Triptans,330249,
Triptans,330250,
Triptans,330403,
Triptans,330516,
Triptans,330542,
Triptans,330765,
Triptans,330766,
Triptans,331566,
Triptans,332453,
Triptans,349462,
Triptans,351048,
Triptans,351134,
Triptans,352058,
Triptans,353724,
Triptans,359493,
Triptans,359494,
Triptans,360287,
Triptans,360288,
Triptans,360289,
Triptans,368162,
Triptans,368274,
Triptans,368290,
Triptans,368302,
Triptans,369444,
Triptans,373010,
Triptans,373798,
Triptans,374012,
Triptans,37418,
Triptans,374363,
Triptans,374590,
Triptans,374653,
Triptans,374657,
Triptans,378697,
Triptans,379029,
Triptans,379118,
Triptans,402000,
Triptans,402169,
Triptans,402391,
Triptans,402392,
Triptans,402420,
Triptans,404443,
Triptans,404444,
Triptans,406251,
Triptans,565245,
Triptans,569147,
Triptans,569149,
Triptans,569796,
Triptans,573092,
Triptans,573130,
Triptans,573131,
Triptans,573222,
Triptans,573223,
Triptans,574894,
Triptans,575807,
Triptans,576112,
Triptans,576400,
Triptans,576401,
Triptans,582326,
Triptans,582327,
Triptans,582328,
Triptans,582329,
Triptans,582330,
Triptans,616714,
Triptans,644919,
Triptans,727338,
Triptans,727339,
Triptans,758523,
Triptans,794763,
Triptans,794765,
Triptans,794767,
Triptans,797426,
Triptans,828535,
Triptans,828537,
Triptans,849450,
Triptans,849451,
Triptans,849452,
Triptans,860088,
Triptans,88014,
Triptans,901801,
Triptans,901802,
Triptans,901803,
Triptans,37499031,
Triptans,42799331,
Triptans,42799332,
Triptans,42799334,
Triptans,42799339,
Triptans,42799344,
Triptans,42799491,
Triptans,42799585,
Triptans,42799590,
Triptans,42799603,
Triptans,42903268,
Triptans,43012984,
Triptans,44785082,
Triptans,44785083,
Triptans,46234131,
Triptans,46275949,
Triptans,46275960,
Triptans,46275961,
Triptans,46276056,
Triptans,46276058,
Triptans,46276059,
Triptans,46276064,
Triptans,46276065,
Triptans,46276068,
Triptans,46276069,
Triptans,46276080,
Triptans,37497429,
Triptans,37497439,
Triptans,37498244,
Triptans,37498249,
Triptans,37498252,
Triptans,37499423,
Triptans,37499819,
Triptans,40011026,
Triptans,40017303,
Triptans,40026192,
Triptans,40034241,
Triptans,40034513,
Triptans,40034524,
Triptans,40039702,
Triptans,40040044,
Triptans,40040049,
Triptans,40057885,
Triptans,40057886,
Triptans,40058464,
Triptans,40058465,
Triptans,40058848,
Triptans,40061078,
Triptans,40078302,
Triptans,40083018,
Triptans,40092767,
Triptans,40099332,
Triptans,40099335,
Triptans,40134774,
Triptans,40149941,
Triptans,40155932,
Triptans,40163846,
Triptans,40163849,
Triptans,40163972,
Triptans,40221113,
Triptans,40223189,
Triptans,44784649,
Triptans,44784973,
Triptans,44784974,
Triptans,44785081,
Triptans,46234130,
Triptans,46234132,
Triptans,46276057,
Triptans,46276060,
Triptans,46276061,
Triptans,46276067,
Triptans,46276074,
Triptans,701849,
Triptans,701855,
Triptans,701856,
Triptans,1103555,
Triptans,1103558,
Triptans,1106741,
Triptans,1106774,
Triptans,1116072,
Triptans,1118121,
Triptans,1126557,
Triptans,1140648,
Triptans,1140650,
Triptans,1140674,
Triptans,1140706,
Triptans,1145410,
Triptans,1145433,
Triptans,1154081,
Triptans,1189458,
Triptans,1361134,
Triptans,1361135,
Triptans,1396809,
Triptans,1396810,
Triptans,1510471,
Triptans,1510474,
Triptans,1510787,
Triptans,19006147,
Triptans,19023301,
Triptans,19034925,
Triptans,19047132,
Triptans,19063077,
Triptans,19069706,
Triptans,19069708,
Triptans,19071336,
Triptans,19084739,
Triptans,19084740,
Triptans,19085133,
Triptans,19091472,
Triptans,19105385,
Triptans,19107358,
Triptans,19107685,
Triptans,19110459,
Triptans,19110545,
Triptans,19113032,
Triptans,19116030,
Triptans,19120254,
Triptans,19120746,
Triptans,19120960,
Triptans,19124488,
Triptans,35200577,
Triptans,35200583,
Triptans,35200586,
Triptans,35200819,
Triptans,35200828,
Triptans,35200830,
Triptans,35200831,
Triptans,35201963,
Triptans,35201984,
Triptans,35604723,
Triptans,35604724,
Triptans,35604883,
Triptans,36249472,
Triptans,36249473,
Triptans,37497432,
Triptans,37498245,
Triptans,37499076,
Triptans,37499081,
Triptans,37499422,
Triptans,37499829,
Triptans,40000511,
Triptans,40011020,
Triptans,40017306,
Triptans,40034238,
Triptans,40034239,
Triptans,40040047,
Triptans,40040050,
